Gene,OG_number,OG_species,Tissue,OG_size,Bias,OG_contents
MAP4K5,N0.HOG0009218,5,Pituitary,0,-1
TTC12,N0.HOG0011943,5,Skin,0,1
SAMD1,N0.HOG0017392,4,Liver,3,-1,ENSG00000203943,ENSMFAG00000044469,ENSMUSG00000048652
LMOD1,N0.HOG0017528,4,Pituitary,0,1
RHBDF2,N0.HOG0006276,5,Pituitary,0,1
CD53,N0.HOG0012856,5,Thyroid,0,-1
NID1,N0.HOG0012188,5,Muscle,0,-1
PLPPR3,N0.HOG0014687,5,Brain,0,1
MVB12B,N0.HOG0010809,5,Spleen,0,1
TOX2,N0.HOG0016400,5,Thyroid,0,-1
UBA3,N0.HOG0013546,5,Adipose,0,-1
B3GALNT2,N0.HOG0004542,5,Muscle,1,1, ENSG00000282880
XRCC4,N0.HOG0015970,5,Adipose,0,-1
SSH2,N0.HOG0011667,5,Spleen,0,-1
ADAMTS13,N0.HOG0003590,5,Thyroid,2,1,ENSG00000281244, ENSG00000160323
WDHD1,N0.HOG0005876,5,Thyroid,0,-1
DPP3,N0.HOG0014313,5,Lung,0,-1
PPP1R15A,N0.HOG0009634,5,Spleen,1,1,ENSCAFG00000003880
TIMP3,N0.HOG0012518,5,Pituitary,0,1
POLRMT,N0.HOG0014564,5,Muscle,0,-1
FBXO30,N0.HOG0013223,5,Pituitary,0,-1
ASNS,N0.HOG0007492,5,Adrenal,0,-1
ZBTB40,N0.HOG0014640,5,Pituitary,0,-1
RSBN1,N0.HOG0014898,5,Pituitary,0,-1
RRP8,N0.HOG0015816,5,Muscle,0,-1
FAM102A,N0.HOG0009027,5,Brain,0,1
PIP4K2B,N0.HOG0004726,5,Muscle,2,1,ENSG00000277292, ENSG00000276293
SLC39A14,N0.HOG0009453,5,Brain,0,-1
SOD3,N0.HOG0009738,5,Colon,0,-1
TNS2,N0.HOG0011680,5,Adrenal,0,1
MAPK8,N0.HOG0000933,5,Adrenal,0,-1
MVK,N0.HOG0014620,5,Lung,0,-1
KLHDC2,N0.HOG0010221,5,Pituitary,0,-1
TSPAN14,N0.HOG0012619,5,Pituitary,0,1
PAPLN,N0.HOG0008483,5,Heart,0,1
SSR4,N0.HOG0009175,5,Liver,0,1
SYBU,N0.HOG0006991,5,Thyroid,0,-1
AP3M1,N0.HOG0001932,5,Adrenal,0,-1
PXMP2,N0.HOG0010036,5,Pituitary,0,1
NSDHL,N0.HOG0012318,5,Adrenal,0,-1
UBE2G1,N0.HOG0006082,5,Thyroid,0,1
TCEA3,N0.HOG0005135,5,Heart,3,1,ENSCAFG00000013291,ENSG00000282941, ENSG00000204219
MASP1,N0.HOG0010892,5,Skin,0,-1
INPPL1,N0.HOG0007240,5,Heart,0,1
ARL1,N0.HOG0014141,5,Adrenal,0,-1
MAP3K3,N0.HOG0006235,5,Adrenal,0,1
POLR3D,N0.HOG0009419,5,Adipose,0,-1
PXDC1,N0.HOG0011383,5,Liver,0,-1
SCRN2,N0.HOG0011449,5,Adrenal,0,1
PDE4B,N0.HOG0003479,5,Thyroid,1,1, ENSCAFG00000017790
ALDH3B1,N0.HOG0002025,5,Skin,1,-1,ENSCAFG00000011246
